Imm.M0_like.0.index	Imm.M0_like.0.Term	Imm.M0_like.0.NES	Imm.M0_like.0.FDR q-val	Imm.M0_like.1.index	Imm.M0_like.1.Term	Imm.M0_like.1.NES	Imm.M0_like.1.FDR q-val	Imm.Interferon.0.index	Imm.Interferon.0.Term	Imm.Interferon.0.NES	Imm.Interferon.0.FDR q-val	Imm.DAM.0.index	Imm.DAM.0.Term	Imm.DAM.0.NES	Imm.DAM.0.FDR q-val	Imm.MHCII.0.index	Imm.MHCII.0.Term	Imm.MHCII.0.NES	Imm.MHCII.0.FDR q-val	Imm.Proliferative.0.index	Imm.Proliferative.0.Term	Imm.Proliferative.0.NES	Imm.Proliferative.0.FDR q-val	Imm.PVM.0.index	Imm.PVM.0.Term	Imm.PVM.0.NES	Imm.PVM.0.FDR q-val	Imm.DAM.1.index	Imm.DAM.1.Term	Imm.DAM.1.NES	Imm.DAM.1.FDR q-val
93	regulation of dendritic spine morphogenesis (GO:0061001)	1.8117369251248283	0.0355650522717468																												
94	regulation of ryanodine-sensitive calcium-release channel activity (GO:0060314)	1.81048478895752	0.0356109768864425																												
95	regulation of exocytosis (GO:0017157)	1.806828902989316	0.0366358135241423																												
96	positive regulation of signaling (GO:0023056)	1.80371270292978	0.037486031200119																												
97	regulation of neuron projection development (GO:0010975)	1.7966709821349685	0.0400107572690141																												
98	detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	1.795790008092362	0.0400235918267724																												
99	positive regulation of potassium ion transport (GO:0043268)	1.7955113045131863	0.0397248674949483																												
100	neuron projection fasciculation (GO:0106030)	1.793989971621158	0.0400417980585645																												
101	inhibitory synapse assembly (GO:1904862)	1.773080749948289	0.0492563410299122																												
102	regulation of myoblast fusion (GO:1901739)	-1.7114641583075731	0.0498774684151983																												
103	positive regulation of intracellular signal transduction (GO:1902533)	-1.7121917256514103	0.0496945033099783																												
104	protein modification by small protein removal (GO:0070646)	-1.7127419340879022	0.0495868003792083																												
105	negative regulation of response to cytokine stimulus (GO:0060761)	-1.712959474684028	0.0497098533497844																												
106	mitotic nuclear division (GO:0140014)	-1.7144520664402008	0.0491357179886308																												
107	response to zinc ion (GO:0010043)	-1.714666243869211	0.0491966051865981																												
108	myeloid cell development (GO:0061515)	-1.714794588905544	0.0493195625377157																												
109	integrin-mediated signaling pathway (GO:0007229)	-1.7150625178470598	0.0494324068722829																												
110	endosome organization (GO:0007032)	-1.716217597642414	0.0489141889608466																												
111	positive regulation of transport (GO:0051050)	-1.7174832474269357	0.0483741856401338																												
112	tryptophan metabolic process (GO:0006568)	-1.718558478682914	0.0479317100106215																												
113	regulation of autophagy (GO:0010506)	-1.7197741517004232	0.047513730716262																												
114	positive regulation of lymphocyte activation (GO:0051251)	-1.720124629071002	0.0475517825176092																												
115	defense response to bacterium (GO:0042742)	-1.72060790560638	0.0475497581450553																												
116	regulation of protein metabolic process (GO:0051246)	-1.7228461645928808	0.0465553237056046																												
117	negative regulation of interferon-beta production (GO:0032688)	-1.7230082152869155	0.0466885006428321																												
118	cytosolic transport (GO:0016482)	-1.724740269233048	0.0459734305214175																												
119	regulation of type I interferon production (GO:0032479)	-1.7248325879617827	0.0461463050152665																												
120	positive regulation of interferon-alpha production (GO:0032727)	-1.7256343783842254	0.0459186176239147																												
121	response to laminar fluid shear stress (GO:0034616)	-1.726139563556348	0.0458373212557592																												
122	establishment of epithelial cell apical/basal polarity (GO:0045198)	-1.728653726343243	0.0446562976895593																												
123	protein modification by small protein conjugation (GO:0032446)	-1.7325713826698756	0.042899599403898																												
124	regulation of interferon-alpha production (GO:0032647)	-1.732622727564784	0.0430797363455011																												
125	cellular response to molecule of bacterial origin (GO:0071219)	-1.7330636558920314	0.0430737647221712																												
126	protein deubiquitination (GO:0016579)	-1.733103240310305	0.0432748196696732																												
127	positive regulation of cell-matrix adhesion (GO:0001954)	-1.7339994734193989	0.0430983695662589																												
128	regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	-1.7345188139613896	0.0429939749216129																												
129	regulation of lymphocyte differentiation (GO:0045619)	-1.73625024422463	0.0424310204459167																												
130	positive regulation of leukocyte cell-cell adhesion (GO:1903039)	-1.738267410531256	0.0415268342895458																												
131	negative regulation of T cell activation (GO:0050868)	-1.738540929390798	0.0416439502506571																												
132	positive regulation of membrane protein ectodomain proteolysis (GO:0051044)	-1.7393985615465155	0.0414107376544892																												
133	phagosome-lysosome fusion (GO:0090385)	-1.739490834030384	0.041572625225502																												
134	lymphocyte proliferation (GO:0046651)	-1.7395664103304145	0.0417488655824363																												
135	DNA repair (GO:0006281)	-1.7409203251981265	0.0412958289810277																												
136	macrophage activation (GO:0042116)	-1.7423375100505931	0.0407355455264066																												
137	positive regulation of substrate adhesion-dependent cell spreading (GO:1900026)	-1.7424740931876286	0.0408908468434539																												
138	cellular response to zinc ion (GO:0071294)	-1.7430875948336544	0.0408146672486729																												
139	gene expression (GO:0010467)	-1.7437901993330476	0.0406335263745081																												
140	positive regulation of alpha-beta T cell proliferation (GO:0046641)	-1.7440113188439403	0.0407449529902555																												
141	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	-1.7441847016811551	0.0408707299726246																												
142	inflammatory response (GO:0006954)	-1.7450492098224295	0.0406075925830886																												
143	regulation of cellular biosynthetic process (GO:0031326)	-1.7453350582342615	0.0406807832532986																												
144	MyD88-dependent toll-like receptor signaling pathway (GO:0002755)	-1.7459275845341582	0.0405809181196646																												
145	phagosome acidification (GO:0090383)	-1.7460481443516436	0.0407556098654353																												
146	microvillus organization (GO:0032528)	-1.7471541354979487	0.0404319761518755																												
147	hepatocyte growth factor receptor signaling pathway (GO:0048012)	-1.7472013231865025	0.0406349649814985																												
148	response to copper ion (GO:0046688)	-1.7478711902970157	0.04060097789135																												
149	cellular zinc ion homeostasis (GO:0006882)	-1.7486536711600404	0.0404841306551636																												
150	protein sumoylation (GO:0016925)	-1.749144466003908	0.0404074424162125																												
151	regulation of small GTPase mediated signal transduction (GO:0051056)	-1.7492678461934	0.0405592716993712																												
152	fatty acid transmembrane transport (GO:1902001)	-1.7496046925205275	0.0405800063118607																												
153	response to interferon-alpha (GO:0035455)	-1.7501236471500243	0.0404744293888315																												
154	negative regulation of cytokine production (GO:0001818)	-1.7521974728219345	0.0397312599741372																												
155	regulation of response to biotic stimulus (GO:0002831)	-1.7522974417104693	0.0398826911919234																												
156	regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122)	-1.7523959456065024	0.0400716487222239																												
157	negative regulation of MAP kinase activity (GO:0043407)	-1.7532116333537904	0.039903069889319																												
158	regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418)	-1.7541107278974624	0.0397542195289101																												
159	positive regulation of transforming growth factor beta receptor signaling pathway (GO:0030511)	-1.7556983475670938	0.0391595230549707																												
160	positive regulation of cellular response to transforming growth factor beta stimulus (GO:1903846)	-1.7556983475670938	0.0391595230549707																												
161	regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	-1.7569868809119746	0.0390612202467679																												
162	lipoprotein catabolic process (GO:0042159)	-1.7573893092784625	0.0390815911685083																												
163	regulation of fatty acid metabolic process (GO:0019217)	-1.759278955771281	0.0382223347421598																												
164	regulation of establishment of cell polarity (GO:2000114)	-1.7604263635767403	0.0378177253418875																												
165	cellular response to lipopolysaccharide (GO:0071222)	-1.761611871641632	0.0375138241531901																												
166	response to lipopolysaccharide (GO:0032496)	-1.7626279685670443	0.0372821175586676																												
167	regulation of establishment or maintenance of cell polarity (GO:0032878)	-1.7629800337062502	0.0373684889683233																												
168	positive regulation of macrophage derived foam cell differentiation (GO:0010744)	-1.764280017596438	0.0369484277969577																												
169	toll-like receptor 9 signaling pathway (GO:0034162)	-1.765163130618281	0.0367706969582038																												
170	regulation of fibroblast proliferation (GO:0048145)	-1.7664001341601383	0.0365284210372694																												
171	positive regulation of programmed cell death (GO:0043068)	-1.7670938233625413	0.036455462102019																												
172	cellular response to copper ion (GO:0071280)	-1.7687001074280593	0.0359872304036966																												
173	positive regulation of gene expression, epigenetic (GO:0045815)	-1.7723514716065538	0.0346636305868085																												
174	adipose tissue development (GO:0060612)	-1.7733103215401376	0.0344093687087848																												
175	DNA replication (GO:0006260)	-1.774225446774331	0.0342482798255614																												
176	Arp2/3 complex-mediated actin nucleation (GO:0034314)	-1.7763131488806296	0.0335184707831101																												
177	leukocyte cell-cell adhesion (GO:0007159)	-1.7773893389897528	0.0332760172001351																												
178	negative regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032435)	-1.7782646387131291	0.0330303309027205																												
179	T cell activation involved in immune response (GO:0002286)	-1.7788411777340016	0.0329960357237817																												
180	positive regulation of interleukin-10 production (GO:0032733)	-1.781683394335827	0.0319720231306577																												
181	negative regulation of B cell activation (GO:0050869)	-1.781723154455475	0.0321644110567838																												
182	response to lipid (GO:0033993)	-1.7849309322672102	0.0309774169216693																												
183	protein transport (GO:0015031)	-1.7853176122190166	0.0310468083812852																												
184	DNA metabolic process (GO:0006259)	-1.7855121021699436	0.0311342515648315																												
185	regulation of Ras protein signal transduction (GO:0046578)	-1.7858253980801706	0.0312745400794781																												
186	positive regulation of cell-substrate adhesion (GO:0010811)	-1.7858551374353884	0.0314861190049436																												
187	regulation of RIG-I signaling pathway (GO:0039535)	-1.785870481446448	0.0317094248134893																												
188	TRIF-dependent toll-like receptor signaling pathway (GO:0035666)	-1.7862363770950038	0.0318040993482242																												
189	superoxide anion generation (GO:0042554)	-1.7871582813209064	0.0316611506251055																												
190	negative regulation of ubiquitin-dependent protein catabolic process (GO:2000059)	-1.7873721281642705	0.0317746783497522																												
191	positive regulation of p38MAPK cascade (GO:1900745)	-1.787794119570777	0.0318449607614968																												
192	regulation of reactive oxygen species biosynthetic process (GO:1903426)	-1.7906163983977867	0.0306768975110445																												
193	mononuclear cell differentiation (GO:1903131)	-1.7916641169703127	0.0304575685999757																												
194	negative regulation of interferon-gamma production (GO:0032689)	-1.7924375670842452	0.0303635083416315																												
195	negative regulation of apoptotic process (GO:0043066)	-1.7954308184435843	0.0293152196258118																												
196	positive regulation of leukocyte degranulation (GO:0043302)	-1.7956582284222782	0.0294813804110055																												
197	purinergic nucleotide receptor signaling pathway (GO:0035590)	-1.7957448436030763	0.0296876454116487																												
198	androgen receptor signaling pathway (GO:0030521)	-1.795949949341068	0.0298592273303518																												
199	neutrophil activation (GO:0042119)	-1.796738679097278	0.0298331827211987																												
200	positive regulation of T cell activation (GO:0050870)	-1.7968118092886871	0.030018194591545																												
201	regulation of phagocytosis (GO:0050764)	-1.7996299307258274	0.0294117320157811																												
202	reverse cholesterol transport (GO:0043691)	-1.8008803115752334	0.0290299921286637																												
203	cellular response to cytokine stimulus (GO:0071345)	-1.8026318471135323	0.0286126164194314																												
204	translation (GO:0006412)	-1.8042391847562305	0.0281785868063133																												
205	regulation of RNA metabolic process (GO:0051252)	-1.8052596070401576	0.02802757823394																												
206	double-strand break repair (GO:0006302)	-1.8055045739133453	0.0281766349300626																												
207	cellular response to low-density lipoprotein particle stimulus (GO:0071404)	-1.8070742562874509	0.0277790812920531																												
208	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)	-1.8072343572953096	0.0279490570029849																												
209	positive regulation of inflammatory response (GO:0050729)	-1.8096013817179817	0.0274085032823959																												
210	negative regulation of lipid storage (GO:0010888)	-1.8099676756689789	0.0274843805140212																												
211	phagosome maturation (GO:0090382)	-1.8117924662258136	0.0269095836373905																												
212	T cell activation (GO:0042110)	-1.8153517670287351	0.0259854743557491																												
213	lipoprotein biosynthetic process (GO:0042158)	-1.8154082573696904	0.0262114350023208																												
214	regulation of apoptotic process (GO:0042981)	-1.8158966572072992	0.0262794739940024																												
215	positive regulation of interleukin-8 production (GO:0032757)	-1.816122891091823	0.0264249325133565																												
216	response to interferon-gamma (GO:0034341)	-1.81872231256845	0.0256282687826081																												
217	regulation of interleukin-1 beta production (GO:0032651)	-1.818895394085439	0.0258148177747622																												
218	positive regulation of antigen receptor-mediated signaling pathway (GO:0050857)	-1.81921750036998	0.0259376495124079																												
219	negative regulation of programmed cell death (GO:0043069)	-1.821223045010156	0.0255547995401769																												
220	T cell receptor signaling pathway (GO:0050852)	-1.821630527898764	0.0256661063942793																												
221	MyD88-independent toll-like receptor signaling pathway (GO:0002756)	-1.8216814408730293	0.0258599828030717																												
222	positive regulation of lymphocyte differentiation (GO:0045621)	-1.8232133484559945	0.0254771716613817																												
223	natural killer cell mediated cytotoxicity (GO:0042267)	-1.8235310950796304	0.0256495066678687																												
224	positive regulation of cytokine production involved in inflammatory response (GO:1900017)	-1.8238514126811645	0.0258251558090959																												
225	regulation of response to cytokine stimulus (GO:0060759)	-1.8262490099399624	0.025299461951715																												
226	positive regulation of double-strand break repair via homologous recombination (GO:1905168)	-1.82814065889843	0.0248961433059258																												
227	regulation of inflammatory response (GO:0050727)	-1.828142774142647	0.0251426397743013																												
228	recombinational repair (GO:0000725)	-1.8288996956477053	0.0251110896594683																												
229	positive regulation of immune effector process (GO:0002699)	-1.82943229071985	0.0252031781951814																												
230	regulation of chemokine production (GO:0032642)	-1.8303231159272115	0.0251464931095776																												
231	phospholipid transport (GO:0015914)	-1.831673722641511	0.0249364331566367																												
232	polarized epithelial cell differentiation (GO:0030859)	-1.8328967281689823	0.0247604448504066																												
233	regulation of cytokine production involved in inflammatory response (GO:1900015)	-1.8379844079369896	0.0235964853965039																												
234	regulation of interleukin-10 production (GO:0032653)	-1.8387647818651849	0.0235333843483711																												
235	positive regulation of cholesterol efflux (GO:0010875)	-1.838943624724488	0.0237599727249477																												
236	regulation of interferon-gamma-mediated signaling pathway (GO:0060334)	-1.8401941624601676	0.0234833060530997																												
237	positive regulation of chemokine production (GO:0032722)	-1.8415149919025215	0.023254639351689																												
238	cellular response to cadmium ion (GO:0071276)	-1.844752263415553	0.0225014173768222																												
239	response to cadmium ion (GO:0046686)	-1.8453154869338344	0.0226160026660703																												
240	lymphocyte differentiation (GO:0030098)	-1.847094864808737	0.0223557037356297																												
241	negative regulation of type I interferon production (GO:0032480)	-1.85219686708664	0.021141923353385																												
242	double-strand break repair via homologous recombination (GO:0000724)	-1.8535225382804077	0.0209442676648824																												
243	lysosome localization (GO:0032418)	-1.858832233049753	0.0195695265986115																												
244	response to exogenous dsRNA (GO:0043330)	-1.8592268548936728	0.0197146162488301																												
245	antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590)	-1.861816257011496	0.0192702706311628																												
246	positive regulation of response to external stimulus (GO:0032103)	-1.867171036218872	0.0182299290975574																												
247	regulation of erythrocyte differentiation (GO:0045646)	-1.8698456689456533	0.0175740110064691																												
248	regulation of platelet activation (GO:0010543)	-1.8732107610662443	0.016932453279688																												
249	response to muramyl dipeptide (GO:0032495)	-1.8739317965407936	0.017022197481874																												
250	positive regulation of cytokine-mediated signaling pathway (GO:0001961)	-1.8758044286013045	0.0166568114426051																												
251	I-kappaB kinase/NF-kappaB signaling (GO:0007249)	-1.8780990908694704	0.0161700864329186																												
252	regulation of double-strand break repair via homologous recombination (GO:0010569)	-1.8812383567135968	0.0156381756949936																												
253	positive regulation of B cell proliferation (GO:0030890)	-1.881905918241724	0.0157318536556786																												
254	regulation of necroptotic process (GO:0060544)	-1.8854870864556792	0.0150133837165803																												
255	natural killer cell mediated immunity (GO:0002228)	-1.896902557761307	0.0125055730989546																												
256	myeloid leukocyte differentiation (GO:0002573)	-1.8972869273180533	0.0126279977532439																												
257	positive regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043123)	-1.901777751536792	0.0120780544559415																												
258	bone development (GO:0060348)	-1.9058945598709027	0.0115651270357178																												
259	mitotic sister chromatid segregation (GO:0000070)	-1.905919832403804	0.0117327375724674																												
260	positive regulation of ERBB signaling pathway (GO:1901186)	-1.9086910929753411	0.0114348565184194																												
261	regulation of programmed necrotic cell death (GO:0062098)	-1.9089118170101056	0.0116055260186943																												
262	superoxide metabolic process (GO:0006801)	-1.909253429172868	0.0116322360900837																												
263	cytokine-mediated signaling pathway (GO:0019221)	-1.910375582836944	0.0116597680098236																												
264	regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902041)	-1.913497009022438	0.0113805771362117																												
265	regulation of interleukin-8 production (GO:0032677)	-1.914262291570463	0.0114049884985802																												
266	positive regulation of type I interferon production (GO:0032481)	-1.9156220084294413	0.0113508110233881																												
267	type I interferon signaling pathway (GO:0060337)	-1.9159318258398863	0.0113957041771548																												
268	cellular response to type I interferon (GO:0071357)	-1.9159318258398863	0.0113957041771548																												
269	regulation of cytokine production (GO:0001817)	-1.9159464755423328	0.0117819992340075																												
270	regulation of cellular component size (GO:0032535)	-1.9179486973823456	0.0115396718771653																												
271	positive regulation of response to biotic stimulus (GO:0002833)	-1.920996945571809	0.0112240874553439																												
272	fatty acid transport (GO:0015908)	-1.92891723982849	0.0099525124376523																												
273	plasma membrane invagination (GO:0099024)	-1.937233945659728	0.0085228499044652																												
274	positive regulation of reactive oxygen species metabolic process (GO:2000379)	-1.943462389103964	0.007655403238773																												
275	regulation of macrophage derived foam cell differentiation (GO:0010743)	-1.945587279140923	0.0075677065709434																												
276	positive regulation of interferon-beta production (GO:0032728)	-1.9489509341292863	0.0071453935449811																												
277	defense response to symbiont (GO:0140546)	-1.951008150432209	0.0070683817719343																												
278	Fc receptor signaling pathway (GO:0038093)	-1.9557504565598456	0.0065207631158834																												
279	Fc-epsilon receptor signaling pathway (GO:0038095)	-1.9568600013200272	0.0065785134245724																												
280	cellular macromolecule biosynthetic process (GO:0034645)	-1.964888655960543	0.0056902885681058																												
281	B cell differentiation (GO:0030183)	-1.9682764581404983	0.0054972310491189																												
282	regulation of myeloid cell differentiation (GO:0045637)	-1.971456245919276	0.0053760188117005																												
283	regulation of innate immune response (GO:0045088)	-1.9732520454245173	0.0053314415412883																												
284	positive regulation of interleukin-1 beta production (GO:0032731)	-1.9815286079185583	0.0048094822295538																												
285	regulation of sequestering of triglyceride (GO:0010889)	-1.9830558459793708	0.0048068811034156																												
286	defense response to virus (GO:0051607)	-1.9841219364822	0.004804156114128																												
287	positive regulation of defense response (GO:0031349)	-1.9927018041999192	0.004171127809976																												
288	positive regulation of cellular catabolic process (GO:0031331)	-1.9968039310467336	0.0040908561057193																												
289	regulation of mast cell degranulation (GO:0043304)	-1.9978582059804697	0.0040695618865455																												
290	nuclear-transcribed mRNA catabolic process (GO:0000956)	-2.0036390891656257	0.0035938664640668																												
291	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	-2.005494400800924	0.0035912412876869																												
292	antigen receptor-mediated signaling pathway (GO:0050851)	-2.006894642688253	0.0036226461754908																												
293	regulation of defense response (GO:0031347)	-2.0175716865387416	0.0033394743720158																												
294	regulation of interleukin-6 production (GO:0032675)	-2.017724417795645	0.0034376942064868																												
295	positive regulation of B cell activation (GO:0050871)	-2.0177816893218607	0.0035418667581985																												
296	positive regulation of tumor necrosis factor superfamily cytokine production (GO:1903557)	-2.0310199208531428	0.0026529048054007																												
297	positive regulation of interleukin-1 production (GO:0032732)	-2.039104577439327	0.0023416008754542																												
298	cytoplasmic translation (GO:0002181)	-2.0407797482443937	0.0023786431491902																												
299	cotranslational protein targeting to membrane (GO:0006613)	-2.041860642780046	0.0023333895339856																												
300	regulation of B cell activation (GO:0050864)	-2.042464776037604	0.0024167248744851																												
301	positive regulation of immune response (GO:0050778)	-2.0439427806273405	0.0024150974503272																												
302	positive regulation of tumor necrosis factor production (GO:0032760)	-2.049303336948748	0.0024606653267484																												
303	regulation of immune response (GO:0050776)	-2.058269315663185	0.0021653854875386																												
304	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	-2.0589201104204995	0.0022043460218788																												
305	regulation of cholesterol storage (GO:0010885)	-2.0680793856278754	0.0018187526328141																												
306	regulation of interferon-beta production (GO:0032648)	-2.079863884633983	0.0014540295112604																												
307	positive regulation of interleukin-6 production (GO:0032755)	-2.0827932330693084	0.0015232690117966																												
308	regulation of antigen receptor-mediated signaling pathway (GO:0050854)	-2.095493232511549	0.0010457827638681																												
309	positive regulation of phagocytosis (GO:0050766)	-2.097854436376553	0.0011008239619664																												
310	positive regulation of cytokine production (GO:0001819)	-2.1096944750526787	0.0007518699609509																												
311	regulation of B cell proliferation (GO:0030888)	-2.1173344224376742	0.0006513525864922																												
312	protein targeting to ER (GO:0045047)	-2.118541508576583	0.0006151663316871																												
313	regulation of tumor necrosis factor production (GO:0032680)	-2.120917594632086	0.0006561774204662																												
314	vascular endothelial growth factor receptor signaling pathway (GO:0048010)	-2.127297813097739	0.0006151663316871																												
315	B cell activation (GO:0042113)	-2.127429287052001	0.0006624868187399																												
316	regulation of B cell receptor signaling pathway (GO:0050855)	-2.1430909387722483	0.0004101108877914																												
317	neutrophil mediated immunity (GO:0002446)	-2.1872604525327555	0.0001118484239431																												
318	toll-like receptor signaling pathway (GO:0002224)	-2.193206545017424	0.0001230332663374																												
319	neutrophil degranulation (GO:0043312)	-2.1937027373495863	0.0001367036292638																												
320	neutrophil activation involved in immune response (GO:0002283)	-2.200002131713118	0.0001537915829217																												
321	innate immune response (GO:0045087)	-2.203548770610504	0.0																												
322	Fc receptor mediated stimulatory signaling pathway (GO:0002431)	-2.217313073751825	0.0																												
323	Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096)	-2.2341516298787	0.0																												
324	Fc-gamma receptor signaling pathway (GO:0038094)	-2.245697745814896	0.0																												
325	regulation of cytokine-mediated signaling pathway (GO:0001959)	-2.2526916560663026	0.0																												
326	B cell receptor signaling pathway (GO:0050853)	-2.2528176716423065	0.0																												
327	pattern recognition receptor signaling pathway (GO:0002221)	-2.2686826073375563	0.0																												
